time,index,date,day,hour,time_ac,crust,replicate,replicate2,fc,fh,xc_soil,xc_atm_pd,xc_atm_sd,xh_atm,xh_soil,swc,ts,ta,rh_soil,rh_atm,ts_ibutton,tsurf,dp_s_ibutton,dp_s,dp_surf,dp_a,par,vpd,pa,ws,gs,wd,mat_5cm,mat_0cm,swc_md
2019-07-01 00:00:00,123384,2019-06-30 00:00:00,559,24,559,MC,2,8,-0.213118208,-0.00758803,357.5002397,428.0089736,412.5210441,17.52508128,15.43097886,0.006924927,29.68666667,23.90533333,49.18333333,62.00423333,25.71666667,23.28686667,14.19680662,17.82982631,15.55673866,16.13933662,1.2,1.536640504,986.5891,0.3333333333333333,1.2233333333333334,161.9333333333333,-99.18211018868412,-65.39318255704937,
2019-07-01 01:00:00,123385,2019-07-01 00:00:00,560,1,559.0416667,MC,2,8,-0.205527464,-0.007501655,358.2238208,426.5039104,411.5077558,17.04211553,14.96779601,0.006845098,28.62,22.81633333,50.11,62.87026667,24.55,22.0069,13.4167917,17.15002352,14.56679633,15.3306088,1.2,1.410995175,985.7349333333333,0.8933333333333334,2.1166666666666667,90.33333333333333,-96.23306139712341,-63.221300421763516,
2019-07-01 02:00:00,123386,2019-07-01 00:00:00,560,2,559.0833333,MC,2,8,-0.203269466,-0.009779066,359.0003153,425.2662971,411.9240306,16.93222049,14.22484329,0.006685441,27.68333333,22.114,50.03,63.654,23.71666667,21.16346667,12.62791797,16.26564007,13.9627206,14.86107058,1.2,1.326208458,984.7391333333334,0.44333333333333336,1.78,62.73333333333333,-96.15620294965163,-61.35780377270527,
2019-07-01 03:00:00,123387,2019-07-01 00:00:00,560,3,559.125,MC,2,8,-0.195862759,-0.01274325,361.7559838,426.7560311,412.9088891,17.26498183,13.72914924,0.006445955,26.88333333,21.78833333,49.74666667,65.95536667,22.88333333,21.19796667,11.77720777,15.4428957,14.54702887,15.10746754,1.2,1.32020067,984.1899,1.1133333333333333,2.0033333333333334,56.63333333333333,-96.68694688344073,-56.540099933863274,
2019-07-01 04:00:00,123388,2019-07-01 00:00:00,560,4,559.1666667,MC,2,8,-0.194692774,-0.010954906,362.1941376,425.8100213,413.1420876,16.21611372,13.17494368,0.00612664,26.20333333,21.51666667,50.74,65.71313333,22.38333333,20.11796667,11.61919375,15.12858808,13.46497988,14.79216376,1.2,1.300168114,984.1249666666666,0.6666666666666666,2.1133333333333333,85.63333333333333,-93.73621682063131,-56.830669698063616,
2019-07-01 05:00:00,123389,2019-07-01 00:00:00,560,5,559.2083333,MC,2,8,-0.19683389,-0.013182595,361.36704,425.661136,412.9278525,16.62699288,12.96059741,0.00612664,25.54333333,20.55533333,51.48,66.60223333,21.38333333,19.39166667,10.91915217,14.74782405,12.98224198,14.08826633,1.2,1.236125706,984.3083,0.44333333333333336,1.67,100.16666666666667,-91.53355033524666,-54.87538466325952,
2019-07-01 06:00:00,123390,2019-07-01 00:00:00,560,6,559.25,MC,2,8,-0.202086232,-0.023572193,360.5821769,426.3149391,413.5745286,21.63973765,15.07350475,0.005807325,24.88,20.74633333,52.47333333,66.16376667,20.88333333,19.08,10.74709157,14.43423694,12.58476093,14.16724522,33.7,1.272875201,984.5657333333334,0.22333333333333336,1.1133333333333333,80.96666666666665,-88.70144922416232,-55.70777868514655,
2019-07-01 07:00:00,123391,2019-07-01 00:00:00,560,7,559.2916667,MC,2,8,-0.155339261,-0.01596493,382.6376114,430.0994715,423.4824228,23.98430364,19.53585088,0.006485869,24.55,25.21233333,52.04,57.1024,23.05,22.9886,12.61879386,14.00119289,13.99272635,16.06603758,256.2,1.924578019,984.6599,0.44333333333333336,1.89,95.93333333333332,-89.74259953958249,-76.58366476092793,
2019-07-01 08:00:00,123392,2019-07-01 00:00:00,560,8,559.3333333,MC,2,8,-0.018684171,0.01115652,422.2804812,435.3344694,427.2056812,21.21812442,24.31873769,0.00931979,25.70666667,29.484,47.27,42.90696667,27.55,33.3207,15.25174785,13.5732257,18.93620912,15.48458243,499.5333333,2.842669761,984.7749666666667,0.7766666666666667,1.78,93.13333333333333,-103.35161611801553,-119.68259421904767,
2019-07-01 09:00:00,123393,2019-07-01 00:00:00,560,9,559.375,MC,2,8,0.154295862,0.033842942,466.8947268,429.3061755,426.4729876,18.24980177,27.65234195,0.014708231,28.33333333,32.34766667,41.93666667,34.6135,33.05,39.86376667,18.32524456,14.0940848,21.2509131,14.66830137,802.0333333,3.525776227,984.7241333333333,1.2233333333333334,2.6733333333333333,226.03333333333333,-120.91767133087473,-153.26767488365226,
