time,index,date,day,hour,time_ac,crust,replicate,replicate2,fc,fh,xc_soil,xc_atm_pd,xc_atm_sd,xh_atm,xh_soil,swc,ts,ta,rh_soil,rh_atm,ts_ibutton,tsurf,dp_s_ibutton,dp_s,dp_surf,dp_a,par,vpd,pa,ws,gs,wd,mat_5cm,mat_0cm,swc_md
2019-01-01 13:00:00,7501,2019-01-01 00:00:00,379,13,378.5416667,PD,1,1,0.544696324,0.036021237,626.4222987,430.4919772,416.3664944,4.445297927,24.54268717,0.080083033,14.12666667,21.19066667,92.33666667,15.92333333,20.16,29.88333333,18.86925386,12.89575075,1.178349143,-5.730524888,1088.7,1.966657969,997.9199666666667,1.67,4.343333333333333,250.36666666666667,-10.571042578700887,-256.9758773499378,0.07429707799999999
2019-01-01 14:00:00,7502,2019-01-01 00:00:00,379,14,378.5833333,PD,1,1,0.632760231,0.026586531,657.9113473,429.9291514,419.5297763,3.959814249,19.29699892,0.082861993,16.69,22.80066667,89.13666667,15.48666667,21.99333333,32.71666667,20.10951118,14.88186756,3.036691488,-4.81713427,1011.2,2.181916349,996.9966666666666,2.56,5.2299999999999995,224.6,-15.383523441032018,-263.30388900447474,0.07429707799999999
2019-01-01 15:00:00,7503,2019-01-01 00:00:00,379,15,378.625,PD,1,1,0.603532952,0.020886931,644.0862581,426.6653622,417.7998026,5.177368518,17.59357996,0.084612284,17.98666667,21.34433333,96.19333333,23.34,18.65666667,23.71666667,18.03403042,17.3672729,1.480305015,-0.497522064,427.8666667,1.959536611,996.5975,3.7866666666666666,7.906666666666666,189.96666666666667,-5.21487476301084,-199.3548316923033,0.07429707799999999
2019-01-01 16:00:00,7504,2019-01-01 00:00:00,379,16,378.6666667,PD,1,1,0.414249365,0.018140257,572.4324566,422.4349834,411.4585425,6.105505168,16.71603086,0.083236457,15.63,19.04,99.61666667,32.25,15.98333333,17.21666667,15.92286483,15.56970109,0.43588781,2.018710567,77.03333333,1.663252494,996.6890666666667,3.23,7.016666666666666,196.53333333333333,-0.5118931234289685,-151.65669254437762,0.07429707799999999
2019-01-01 17:00:00,7505,2019-01-01 00:00:00,379,17,378.7083333,PD,1,1,0.295366006,0.012717268,527.8875409,421.086528,407.6240971,7.390812017,14.71051413,0.081825852,14.09333333,16.526,99.93333333,49.23666667,14.64333333,15.20666667,14.63294335,14.0829892,4.594436685,5.801946347,52.86666667,1.184343101,997.1158,3.1133333333333333,6.123333333333332,246.6,-0.0884108155559852,-94.29552466017273,0.07429707799999999
2019-01-01 18:00:00,7506,2019-01-01 00:00:00,379,18,378.75,PD,1,1,0.213368288,0.007543078,497.6343227,420.8838659,407.4277717,7.743625351,12.03930397,0.080667604,13.02333333,12.935,99.94,73.88666667,12.63666667,11.87,12.6274665,13.01410416,7.345805488,8.371269366,8.7,0.60585995,997.5958,1.2233333333333334,3.4499999999999997,229.29999999999998,-0.0792706838328588,-39.81075149227287,0.07429707799999999
2019-01-01 19:00:00,7507,2019-01-01 00:00:00,379,19,378.7916667,PD,1,1,0.118117207,0.004932021,465.7587359,423.5598553,407.5669337,7.742082781,10.50870545,0.079306706,11.36,7.566666667,100,83.34333333,9.623333333,6.526666667,9.623333333,11.36,3.902742664,4.919324153,1.2,0.306666498,998.0841333333333,1.2266666666666666,2.3366666666666664,121.66666666666667,0.0,-23.518531816728537,0.07429707799999999
2019-01-01 20:00:00,7508,2019-01-01 00:00:00,379,20,378.8333333,PD,1,1,0.038092147,0.00361172,437.5286067,423.9439467,406.9989956,7.479200303,9.475228604,0.077798215,9.56,5.819333333,100,87.22333333,7.613333333,4.686666667,7.613333333,9.56,2.74363041,3.857107292,1.2,0.22140734,998.1491333333333,0.7799999999999999,2.0033333333333334,91.26666666666667,0.0,-17.528896082056395,0.07429707799999999
2019-01-01 21:00:00,7509,2019-01-01 00:00:00,379,21,378.875,PD,1,1,-0.008082153,0.002872907,419.0418546,421.9237023,406.5619477,7.164306659,8.73487757,0.076632148,8.175666667,4.669666667,100,89.12,6.106666667,3.52,6.106666667,8.175666667,1.897215549,3.030447569,1.2,0.187975532,998.0591,1,2.1166666666666667,41.166666666666664,0.0,-14.70839157722464,0.07429707799999999
2019-01-01 22:00:00,7510,2019-01-01 00:00:00,379,22,378.9166667,PD,1,1,-0.042706905,0.002239197,405.999285,421.2346674,405.9485559,6.926537097,8.139638046,0.075568598,7.019666667,3.748666667,100,90.03333333,4.933333333,2.51,4.933333333,7.019666667,1.043090629,2.265607516,1.2,0.177858723,997.9032333333334,0.7800000000000001,1.8933333333333333,61.73333333333334,0.0,-13.357477260089674,0.07429707799999999
2019-01-01 23:00:00,7511,2019-01-01 00:00:00,379,23,378.9583333,PD,1,1,-0.069433946,0.002152075,395.8076627,420.5886697,405.5119893,6.610849841,7.767859831,0.074624373,6.048333333,3.124,100,92.09333333,3.923333333,1.676666667,3.923333333,6.048333333,0.532747838,1.965255945,1.2,0.162220243,997.6449333333334,0.89,1.89,29,0.0,-10.447618700889974,0.07429707799999999
2019-01-02 00:00:00,7512,2019-01-01 00:00:00,379,24,379,PD,1,1,-0.08839967,0.002160579,388.1113808,419.698827,404.2247488,6.166236295,7.31913036,0.073969783,5.206,2.145666667,100,92.38,3.256666667,0.843333333,3.256666667,5.206,-0.249420426,1.040073799,1.2,0.150212923,997.3124666666668,0.3333333333333333,1.3366666666666667,51.5,0.0,-10.02291822624167,0.07429707799999999
