time,index,date,day,hour,time_ac,crust,replicate,replicate2,fc,fh,xc_soil,xc_atm_pd,xc_atm_sd,xh_atm,xh_soil,swc,ts,ta,rh_soil,rh_atm,ts_ibutton,tsurf,dp_s_ibutton,dp_s,dp_surf,dp_a,par,vpd,pa,ws,gs,wd,mat_5cm,mat_0cm,swc_md
2019-01-01 00:00:00,119040,2018-12-31 00:00:00,378,24,378,MC,2,8,-0.287267414,0.005432049,329.6059332,418.9657136,405.8827181,7.078300838,8.714807675,0.012353282,9.333333333,5.590333333,100,82.14333333,5.746666667,3.38,5.746666667,9.333333333,0.62619956,2.78284779,1.2,0.344643071,998.7307666666667,0.6666666666666666,1.67,70.2,0.0,-25.104895273126168,
2019-01-01 01:00:00,119041,2019-01-01 00:00:00,379,1,378.0416667,MC,2,8,-0.282582965,0.004445808,328.5097672,418.5631551,403.6578322,7.0737954,8.413108519,0.011794481,8.67,4.748333333,100,83.28,4.91,2.373333333,4.91,8.67,-0.167504044,2.153795593,1.2,0.332194493,998.5457333333334,0.5566666666666666,1.67,63.666666666666664,0.0,-23.26593918080863,
2019-01-01 02:00:00,119042,2019-01-01 00:00:00,379,2,378.0833333,MC,2,8,-0.289099438,0.004639174,327.7337203,418.8394963,404.7393419,6.727427733,8.125665252,0.011634824,8.046666667,4.54,100,82.22,4.403333333,2.036666667,4.403333333,8.046666667,-0.671758377,1.771058244,1.2,0.335872869,998.2141666666666,0.89,2.1166666666666667,54.76666666666667,0.0,-24.86445583945548,
2019-01-01 03:00:00,119043,2019-01-01 00:00:00,379,3,378.125,MC,2,8,-0.284403031,0.003384906,327.1441868,417.3416301,402.9247353,6.823088651,7.843236404,0.011475166,7.531666667,4.002,100,84.43333333,3.903333333,1.533333333,3.903333333,7.531666667,-0.800933999,1.616066249,1.2,0.313636445,998.3508333333334,0.22,1.45,35.1,0.0,-21.451361473084013,
2019-01-01 04:00:00,119044,2019-01-01 00:00:00,379,4,378.1666667,MC,2,8,-0.288297623,0.003160877,326.2457595,417.2057775,403.1277746,6.709174615,7.66179606,0.01087645,7.03,3.827,100,84.40333333,3.403333333,1.03,3.403333333,7.03,-1.298561933,1.439778356,1.2,0.310337901,998.1832666666666,0.5566666666666666,1.5599999999999998,36.5,0.0,-21.457023639172,
2019-01-01 05:00:00,119045,2019-01-01 00:00:00,379,5,378.2083333,MC,2,8,-0.286076243,0.002401012,327.141754,417.7365425,403.5796697,6.674211378,7.39804057,0.010796622,6.588333333,3.590666667,100,85.07666667,3.07,0.863333333,3.07,6.588333333,-1.353875163,1.318912936,1.2,0.295956998,997.7349666666665,0.44333333333333336,1.2266666666666666,44.43333333333334,0.0,-20.439092834041794,
2019-01-01 06:00:00,119046,2019-01-01 00:00:00,379,6,378.25,MC,2,8,-0.284469701,0.002211028,327.1838231,417.6529457,403.2930497,6.644500596,7.311764238,0.010796622,6.211666667,3.397666667,100,84.37666667,2.57,0.53,2.57,6.211666667,-1.792349943,1.015064073,1.2,0.298476026,997.6066333333333,0.6666666666666666,1.67,52.86666666666667,0.0,-21.457807945698526,
2019-01-01 07:00:00,119047,2019-01-01 00:00:00,379,7,378.2916667,MC,2,8,-0.282129094,0.002439133,327.5676989,417.3284919,403.0431126,6.401449404,7.138005172,0.010796622,5.878333333,3.449666667,100,85.05333333,2.403333333,0.36,2.403333333,5.878333333,-1.850850322,1.176920816,1.2,0.301145165,997.89,0.44333333333333336,1.4466666666666665,54.76666666666667,0.0,-20.436174296898958,
2019-01-01 08:00:00,119048,2019-01-01 00:00:00,379,8,378.3333333,MC,2,8,-0.283582743,0.000800248,327.4512781,416.613125,403.2895806,6.892452609,7.133984059,0.010796622,5.551666667,2.814333333,100,84.87333333,2.07,0.19,2.07,5.551666667,-2.046036877,0.525042022,5.366666667,0.290907235,998.4524666666666,0.7799999999999999,1.7833333333333332,43.06666666666667,0.0,-20.690739724762626,
2019-01-01 09:00:00,119049,2019-01-01 00:00:00,379,9,378.375,MC,2,8,-0.28020038,-0.002667124,330.5199045,417.1681493,405.3979585,10.25183901,9.445113205,0.01087645,5.270666667,3.898333333,100,80.26666667,2.07,2.373333333,2.07,5.270666667,-0.672311235,0.811356825,73.7,0.313791293,999.2582666666667,0.6666666666666666,1.45,54.300000000000004,0.0,-27.952398816007477,
2019-01-01 10:00:00,119050,2019-01-01 00:00:00,379,10,378.4166667,MC,2,8,-0.05920711,0.020964017,391.038662,420.5673541,406.7922919,8.909389923,15.28991608,0.015666176,5.885,10.52233333,100,45.22,6.076666667,19.27333333,6.076666667,5.885,7.064514155,-0.860024781,399.5333333,0.641540955,999.4865999999998,0.5533333333333333,1.4466666666666665,47.23333333333333,0.0,-107.11057833581559,
2019-01-01 11:00:00,119051,2019-01-01 00:00:00,379,11,378.4583333,MC,2,8,0.216471092,0.048549285,469.5336172,426.2675678,412.211931,7.839697755,22.65346923,0.022531448,8.559333333,17.199,100,32.79,13.25333333,30.61,13.25333333,8.559333333,12.31617323,0.649988753,593.7,1.301654859,999.4558333333333,0.4466666666666667,1.34,46.29999999999999,0.0,-156.3239323368068,
2019-01-01 12:00:00,119052,2019-01-01 00:00:00,379,12,378.5,MC,2,8,0.378088089,0.058809105,524.3836232,429.4646485,424.8946474,7.363430682,25.33691654,0.028558519,11.97666667,20.29333333,92.95,28.31333333,19.42333333,33.77333333,18.24597842,10.86705356,12.79401989,1.281012927,718.7,1.83440064,998.8732666666666,0.44333333333333336,1.67,141.33333333333334,-9.620716430908262,-178.74551586290454,0.0124929825
2019-01-01 13:00:00,119053,2019-01-01 00:00:00,379,13,378.5416667,MC,2,8,0.39402362,0.063344346,520.0453538,430.4919772,416.3664944,7.278967048,26.68565577,0.030234923,15.33333333,21.65233333,89.32666667,27.29,22.42333333,32.94333333,20.56812172,13.57745052,11.52464113,1.92548956,767.0333333,2.037512414,997.9199666666667,1.67,4.343333333333333,250.36666666666667,-15.028014310875157,-183.4627132868018,0.012293411
2019-01-01 14:00:00,119054,2019-01-01 00:00:00,379,14,378.5833333,MC,2,8,0.306149115,0.061376223,499.8692632,429.9291514,419.5297763,6.722621514,25.52752499,0.030274837,17.62333333,22.05066667,89.77,26.46333333,23.92333333,31.77333333,22.12884951,15.91326533,10.06740347,1.833306742,736.2,2.096546006,996.9966666666666,2.56,5.2299999999999995,224.6,-14.482906798418824,-187.090394372854,0.012293411
2019-01-01 15:00:00,119055,2019-01-01 00:00:00,379,15,378.625,MC,2,8,0.219689294,0.055625222,475.3810104,426.6653622,417.7998026,6.666999585,23.67810649,0.02784006,18.68333333,21.23833333,92.12,26.76333333,23.09,28.11,21.73150884,17.36982239,7.129867138,1.302067528,626.2,1.9670821,996.5975,3.7866666666666666,7.906666666666666,189.96666666666667,-11.05513676843626,-183.2753357437553,0.012293411
2019-01-01 16:00:00,119056,2019-01-01 00:00:00,379,16,378.6666667,MC,2,8,0.195121263,0.053651477,462.5849281,422.4349834,411.4585425,5.298616021,21.70504638,0.02528554,18.68666667,20.913,94.56333333,26.29666667,21.42333333,25.95333333,20.50820748,17.79059675,5.047569412,0.782296289,437.0333333,1.947200582,996.6890666666667,3.23,7.016666666666666,196.53333333333333,-7.529332964665419,-184.3916086951979,0.012293411
2019-01-01 17:00:00,119057,2019-01-01 00:00:00,379,17,378.7083333,MC,2,8,0.110422953,0.03458227,436.5520198,421.086528,407.6240971,6.903221258,17.38730132,0.022331876,18.04333333,17.50966667,96.50333333,45.25,19.59,19.77666667,19.01472446,17.47492375,7.530054625,5.476984218,191.2,1.307381784,997.1158,3.1133333333333333,6.123333333333332,246.6,-4.783474374409645,-107.20528049992437,0.012293411
2019-01-01 18:00:00,119058,2019-01-01 00:00:00,379,18,378.75,MC,2,8,-0.03803352,0.016504956,397.4371951,420.8838659,407.4277717,9.941990886,14.90766328,0.018619839,16.74666667,13.18266667,99.43666667,73.69333333,15.75666667,12.42333333,15.667894,16.65719515,7.83999771,8.570902813,9.533333333,0.639907069,997.5958,1.2233333333333334,3.4499999999999997,229.29999999999998,-0.7558518563525318,-40.23336524688865,0.012293411
2019-01-01 19:00:00,119059,2019-01-01 00:00:00,379,19,378.7916667,MC,2,8,-0.141618344,0.015581792,370.4088242,423.5598553,407.5669337,8.457341838,13.12740305,0.015785919,15.07,11.321,100,73.03333333,12.92333333,10.08,12.92333333,15.07,5.454487976,6.647684342,1.2,0.57109311,998.0841333333333,1.2266666666666666,2.3366666666666664,121.66666666666667,0.0,-41.07922608767051,0.012293411
2019-01-01 20:00:00,119060,2019-01-01 00:00:00,379,20,378.8333333,MC,2,8,-0.194722013,0.01081993,355.8793725,423.9439467,406.9989956,8.373747349,11.60751415,0.014109515,13.62333333,9.044,100,80.25333333,10.91666667,7.566666667,10.91666667,13.62333333,4.377892464,5.815155915,1.2,0.456152817,998.1491333333333,0.7799999999999999,2.0033333333333334,91.26666666666667,0.0,-28.5007963250548,0.012293411
2019-01-01 21:00:00,119061,2019-01-01 00:00:00,379,21,378.875,MC,2,8,-0.233584818,0.008495124,345.0830961,421.9237023,406.5619477,8.312176352,10.84842272,0.012632683,12.36333333,7.51,100,83.55333333,9.08,5.726666667,9.08,12.36333333,3.156346451,4.900071474,1.2,0.357923009,998.0591,1,2.1166666666666667,41.166666666666664,0.0,-23.12735462838621,0.012293411
2019-01-01 22:00:00,119062,2019-01-01 00:00:00,379,22,378.9166667,MC,2,8,-0.257031323,0.007101268,338.1210813,421.2346674,405.9485559,7.786702198,9.90488213,0.011954139,11.24666667,6.812666667,100,84.84666667,8.08,4.886666667,8.08,11.24666667,2.550901285,4.437743702,1.2,0.335270558,997.9032333333334,0.7800000000000001,1.8933333333333333,61.73333333333334,0.0,-21.086583071689347,0.012293411
2019-01-01 23:00:00,119063,2019-01-01 00:00:00,379,23,378.9583333,MC,2,8,-0.269850924,0.005824903,334.12073,420.5886697,405.5119893,7.615463032,9.354141085,0.011435252,10.30666667,5.641666667,100,86.29,6.746666667,3.883333333,6.746666667,10.30666667,1.803456144,3.529676637,1.2,0.301302759,997.6449333333334,0.89,1.89,29,0.0,-18.853749399018245,0.012293411
2019-01-02 00:00:00,119064,2019-01-01 00:00:00,379,24,379,MC,2,8,-0.271900821,0.004493102,332.1192102,419.698827,404.2247488,7.386326041,8.727201195,0.010716793,9.486666667,5.075333333,100,86.53666667,5.913333333,2.54,5.913333333,9.486666667,0.524085749,3.014003989,1.2,0.296129558,997.3124666666668,0.3333333333333333,1.3366666666666667,51.5,0.0,-18.399121758687482,0.012293411
2019-01-02 01:00:00,119065,2019-01-02 00:00:00,380,1,379.0416667,MC,2,8,-0.281146368,0.003680268,329.7406481,418.6952752,404.45215,7.227756892,8.327569053,0.010357564,8.74,4.592,100,87.16333333,4.91,1.87,4.91,8.74,-0.034775076,2.640878291,1.2,0.296804164,997.0857666666666,0.11,0.7799999999999999,101.09999999999998,0.0,-17.43853496223275,0.012293411
2019-01-02 02:00:00,119066,2019-01-02 00:00:00,380,2,379.0833333,MC,2,8,-0.281715911,0.002744778,327.9946214,418.1977428,403.0101655,7.316413865,8.137206792,0.00995842,8.042333333,4.176,100,85.77333333,4.236666667,1.196666667,4.236666667,8.042333333,-0.916062811,2.006663381,1.2,0.299578411,996.7983333333333,0.3333333333333333,1.1133333333333333,100.63333333333333,0.0,-19.43132844149969,0.012293411
2019-01-02 03:00:00,119067,2019-01-02 00:00:00,380,3,379.125,MC,2,8,-0.282364347,0.003163698,328.6232136,418.028493,403.9253822,7.096867199,8.044343456,0.00995842,7.473333333,4.575333333,100,81.68666667,3.903333333,1.87,3.903333333,7.473333333,-0.923163234,1.714623504,1.2,0.336987568,996.5466,0.89,2,41.166666666666664,0.0,-25.675434233553812,0.012293411
2019-01-02 04:00:00,119068,2019-01-02 00:00:00,380,4,379.1666667,MC,2,8,-0.283060399,0.00405112,330.7281173,418.4813836,406.4016437,6.556566983,7.770011408,0.00995842,7.066666667,4.834333333,100,79.76,3.736666667,1.87,3.736666667,7.066666667,-1.248118027,1.633591357,1.2,0.372578769,995.9591333333334,0.89,2.3366666666666664,31.833333333333332,0.0,-28.70509682292824,0.012293411
2019-01-02 05:00:00,119069,2019-01-02 00:00:00,380,5,379.2083333,MC,2,8,-0.274179619,0.002586907,331.1001741,418.2117343,404.5040293,6.908028551,7.682795694,0.00959919,6.712,4.036,100,81.62333333,3.236666667,0.863333333,3.236666667,6.712,-1.915175127,1.177976691,1.2,0.354776605,995.4549000000001,0.33,1.5599999999999998,42.1,0.0,-25.6795430712001,0.012293411
2019-01-02 06:00:00,119070,2019-01-02 00:00:00,380,6,379.25,MC,2,8,-0.277613699,0.003286392,329.6205429,418.482256,404.0882149,6.523044042,7.506943125,0.009239961,6.300666667,4.444,100,79.36666667,3.07,1.2,3.07,6.300666667,-1.966224248,1.185408563,1.2,0.367041963,994.9749,0.5566666666666668,2.0033333333333334,77.23333333333333,0.0,-29.26113870788846,0.012293411
2019-01-02 07:00:00,119071,2019-01-02 00:00:00,380,7,379.2916667,MC,2,8,-0.268009766,0.00333129,332.0168294,419.9520664,404.0420412,6.510649968,7.508609147,0.009239961,5.987666667,4.019333333,100,78.47666667,2.736666667,1.363333333,2.736666667,5.987666667,-1.959946574,0.616793663,1.2,0.371261699,994.7541333333332,1.0033333333333332,2.4466666666666668,47.73333333333333,0.0,-30.707333677314985,0.012293411
