index,FilmThickTemp,vdwFilmcontri,totalPoreV1,FilmAbsorbed,IntfAreaSec0,IntfAreaSec1,IntfAreaSec2,partialSatuTemp,totalPoreVol,FilmA
0.001,9.486708913695113e-06,2.1615932666857974e-07,9.828930597890703e-07,2.2395701599372767e-08,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
0.01,9.486708913695111e-06,1.0033227169461366e-07,9.828930597890701e-07,1.0395163846457248e-08,0.10360738046575409,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
0.1,9.486708913695113e-06,4.657011519487223e-08,9.828930597890703e-07,4.8250076433291235e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
0.2,9.486708913695113e-06,3.696272492531021e-08,9.828930597890703e-07,3.829611104387627e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
0.30000000000000004,9.486708913695113e-06,3.228991441817246e-08,9.828930597890703e-07,3.345473448330234e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
0.4,9.486708913695113e-06,2.9337334215024307e-08,9.828930597890703e-07,3.039564347867009e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
0.5,9.486708913695113e-06,2.723436858008459e-08,9.828930597890703e-07,2.8216815872214035e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
0.6,9.486708913695113e-06,2.5628522057685055e-08,9.828930597890703e-07,2.6553040356055467e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
0.7000000000000001,9.486708913695113e-06,2.4344898349860505e-08,9.828930597890703e-07,2.522311145734106e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
0.8,9.486708913695113e-06,2.328505759743612e-08,9.828930597890703e-07,2.412503821664562e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
0.9,9.486708913695113e-06,2.2388576209657e-08,9.828930597890703e-07,2.3196217334404637e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
1.0,9.486708913695113e-06,2.161593266685798e-08,9.828930597890703e-07,2.2395701599372772e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
1.1,9.486708913695113e-06,2.0939987454182097e-08,9.828930597890703e-07,2.1695372471135622e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
1.2000000000000002,9.486708913695113e-06,2.034137143737973e-08,9.828930597890703e-07,2.1075162097078254e-09,0.1036073804657541,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
1.3000000000000003,9.486708913695113e-06,1.980582153534872e-08,9.828930597890703e-07,2.0520292872497013e-09,0.10360738046575411,0.0,0.0,0.776084370275963,9.82893059789070e-7,0.103607380465754
1.4000000000000001,9.486708913695113e-06,1.9322558625313724e-08,9.828930597890703e-07,2.0019596830647176e-09,0.10360738046575409,3.2880411428078346e-18,2.7137780156205592e-18,0.776084370275963,9.82893059789070e-7,0.103607380465754
1.5000000000000002,9.472893747821734e-06,1.8883256504822332e-08,9.814617066422297e-07,1.9564447411275534e-09,0.1023852034997626,0.0014808020865528307,0.001222176965991506,0.776084370275963,9.82893059789070e-7,0.103607380465754
1.6,9.364988205678644e-06,1.8481362462655105e-08,9.702818960830472e-07,1.9148055521938134e-09,0.09987263700216438,0.004611760771527806,0.003734743463589721,0.776084370275963,9.82893059789070e-7,0.103607380465754
1.7000000000000002,9.184582681283918e-06,1.8111635599954075e-08,9.515905522789588e-07,1.8764991204615383e-09,0.09756359629387923,0.007591155329228168,0.006043784171874863,0.776084370275963,9.82893059789070e-7,0.103607380465754
1.8000000000000003,8.9605244230998e-06,1.7769824713639866e-08,9.283764630767829e-07,1.8410849899158452e-09,0.09543100400257527,0.010428846668742837,0.008176376463178833,0.776084370275963,9.82893059789070e-7,0.103607380465754
1.9000000000000001,8.711698443919567e-06,1.7452438322835478e-08,9.025962551820925e-07,1.8082014173691226e-09,0.09345264367431837,0.013134405004727073,0.010154736791435737,0.776084370275963,9.82893059789070e-7,0.103607380465754
2.0,8.450555329612784e-06,1.7156577127322062e-08,8.755399011820977e-07,1.7775480139205114e-09,0.09161008414306487,0.01571690492902081,0.011997296322689227,0.776084370275963,9.82893059789070e-7,0.103607380465754
2.1,8.185320828470294e-06,1.6879809743795945e-08,8.480596493095834e-07,1.7488728703150098e-09,0.08988788249808727,0.018184831899206888,0.013719497967666833,0.776084370275963,9.82893059789070e-7,0.103607380465754
2.2,7.921408758730161e-06,1.662007905648478e-08,8.207164110905127e-07,1.72196285417613e-09,0.08827298394789851,0.02054605299672932,0.015334396517855592,0.776084370275963,9.82893059789070e-7,0.103607380465754
2.3000000000000003,7.662340949150246e-06,1.6375630620143474e-08,7.938750739769369e-07,1.6966361920278577e-09,0.08675426339064862,0.02280782410978578,0.016853117075105468,0.776084370275963,9.82893059789070e-7,0.103607380465754
2.4000000000000004,7.410355705380456e-06,1.614495720908623e-08,7.677675429539245e-07,1.6727367241651168e-09,0.08532217065154798,0.024976816971924175,0.018285209814206123,0.776084370275963,9.82893059789070e-7,0.103607380465754
2.5000000000000004,7.166815787099866e-06,1.5926755363438897e-08,7.425350099820289e-07,1.6501294025248036e-09,0.08396845268880114,0.02705915617634936,0.019638927776952968,0.776084370275963,9.82893059789070e-7,0.103607380465754
