time,index,date,day,hour,time_ac,crust,replicate,replicate2,fc,fh,xc_soil,xc_atm_pd,xc_atm_sd,xh_atm,xh_soil,swc,ts,ta,rh_soil,rh_atm,ts_ibutton,tsurf,dp_s_ibutton,dp_s,dp_surf,dp_a,par,vpd,pa,ws,gs,wd,mat_5cm,mat_0cm,swc_md
2019-01-01 00:00:00,182784,2018-12-31 00:00:00,378,24,378,SD,1,12,0.123969623,-0.000290257,439.6329831,418.9657136,405.8827181,6.933541666,6.842002073,0.069742366,3.666666667,4.539,100,87.49666667,2.166666667,1.903333333,2.166666667,3.666666667,0.050485248,2.642511661,1.2,0.311735488,998.7307666666667,0.6666666666666666,1.67,70.2,0.0,-16.956103025532816,
2019-01-01 01:00:00,182785,2019-01-01 00:00:00,379,1,378.0416667,SD,1,12,0.128843857,-0.000425775,438.699435,418.5631551,403.6578322,6.977321819,6.843269915,0.069253618,3.178,3.5545,100,88.77,1.49,1.403333333,1.49,3.178,-0.243193267,1.87617944,1.2,0.28302949,998.5457333333334,0.5566666666666666,1.67,63.666666666666664,0.0,-15.094491723080397,
2019-01-01 02:00:00,182786,2019-01-01 00:00:00,379,2,378.0833333,SD,1,12,0.119117027,-6.8e-05,437.0184133,418.8394963,404.7393419,6.62513698,6.603850608,0.068813424,2.749333333,3.436333333,100,86.64,1.49,1.236666667,1.49,2.749333333,-0.739603626,1.420982978,1.2,0.282334696,998.2141666666666,0.89,2.1166666666666667,54.76666666666667,0.0,-18.161010958807015,
2019-01-01 03:00:00,182787,2019-01-01 00:00:00,379,3,378.125,SD,1,12,0.128151168,-0.000310032,437.6352165,417.3416301,402.9247353,6.699938927,6.602946591,0.068364741,2.370333333,3.042666667,100,89.06666667,0.99,0.4,0.99,2.370333333,-1.186326212,1.41836825,1.2,0.273810109,998.3508333333334,0.22,1.45,35.1,0.0,-14.618102874809175,
2019-01-01 04:00:00,182788,2019-01-01 00:00:00,379,4,378.1666667,SD,1,12,0.118532456,-0.000741802,435.2047671,417.2057775,403.1277746,6.67855677,6.447148655,0.068054551,2.008,2.813333334,100,88.57666667,0.99,0.57,0.99,2.008,-1.093894922,1.115679969,1.2,0.264476856,998.1832666666666,0.5566666666666666,1.5599999999999998,36.5,0.0,-15.324113418873228,
2019-01-01 05:00:00,182789,2019-01-01 00:00:00,379,5,378.2083333,SD,1,12,0.110723294,-0.000133419,433.6399117,417.7365425,403.5796697,6.338070312,6.296379897,0.067801382,1.733333333,2.843666667,100,87.71333333,0.656666667,-0.103333333,0.656666667,1.733333333,-1.889538375,1.009562572,1.2,0.275556961,997.7349666666665,0.44333333333333336,1.2266666666666666,44.43333333333334,0.0,-16.520723704572276,
2019-01-01 06:00:00,182790,2019-01-01 00:00:00,379,6,378.25,SD,1,12,0.123778939,-0.001294714,437.0136094,417.6529457,403.2930497,6.477832163,6.072739446,0.067515413,1.470333333,2.239333333,100,88.54,0.323333333,-0.273333333,0.323333333,1.470333333,-1.930130786,0.544596335,1.2,0.261608526,997.6066333333333,0.6666666666666666,1.67,52.86666666666667,0.0,-15.329044429645338,
2019-01-01 07:00:00,182791,2019-01-01 00:00:00,379,7,378.2916667,SD,1,12,0.122229123,-0.000462981,436.3478226,417.3284919,403.0431126,6.290062236,6.145010376,0.067155733,1.2,2.412,100,89.66666667,-0.176666667,-0.94,-0.176666667,1.2,-2.416821418,0.889787921,1.2,0.265847584,997.89,0.44333333333333336,1.4466666666666665,54.76666666666667,0.0,-13.702998809306083,
2019-01-01 08:00:00,182792,2019-01-01 00:00:00,379,8,378.3333333,SD,1,12,0.120798867,-0.000825683,436.0345135,416.613125,403.2895806,6.473064958,6.216299616,0.066926737,0.938,1.826666667,100,88.37666667,-0.01,-0.44,-0.01,0.938,-2.119183263,0.112743091,4.95,0.250731152,998.4524666666666,0.7799999999999999,1.7833333333333332,43.06666666666667,0.0,-15.552083413301903,
2019-01-01 09:00:00,182793,2019-01-01 00:00:00,379,9,378.375,SD,1,12,0.104137347,-0.001544141,433.6549101,417.1681493,405.3979585,7.82908163,7.348333311,0.066812205,0.856333333,2.4395,100,86.42,0.156666667,0.23,0.156666667,0.856333333,-1.762789723,0.406765898,42.03333333,0.265653747,999.2582666666667,0.6666666666666666,1.45,54.300000000000004,0.0,-18.415175003848606,
2019-01-01 10:00:00,182794,2019-01-01 00:00:00,379,10,378.4166667,SD,1,12,0.093189898,-0.002985571,432.4068922,420.5673541,406.7922919,10.2238592,9.289633591,0.067204773,1.274666667,5.474666667,100,75.98666667,2.496666667,3.406666667,2.496666667,1.274666667,-0.420135337,1.578081936,62.03333334,0.376152982,999.4865999999998,0.5533333333333333,1.4466666666666665,47.23333333333333,0.0,-35.051449980165124,
2019-01-01 11:00:00,182795,2019-01-01 00:00:00,379,11,378.4583333,SD,1,12,0.08803434,0.001147204,436.7458021,426.2675678,412.211931,11.29692175,11.65655576,0.068046327,2.238,11.309,98.76333333,57.84,5.84,10.09333333,5.659954271,2.063552723,2.149524063,3.284778073,249.5333334,0.735434397,999.4558333333333,0.4466666666666667,1.34,46.29999999999999,-1.581608052977557,-71.57105980482494,
2019-01-01 12:00:00,182796,2019-01-01 00:00:00,379,12,378.5,SD,1,12,0.069558404,0.013313327,444.7779429,429.4646485,424.8946474,10.42093048,14.66230911,0.069196498,3.514666667,17.06083334,95.21333333,46.34666667,9.346666667,12.93333333,8.617158157,2.820806355,1.666259999,5.415466795,561.2,1.369139615,998.8732666666666,0.44333333333333336,1.67,141.33333333333334,-6.263200781926119,-101.53891593923082,0.06941654850000001
2019-01-01 13:00:00,182797,2019-01-01 00:00:00,379,13,378.5416667,SD,1,12,0.125696284,0.019934467,453.3940761,430.4919772,416.3664944,8.96361323,15.41239741,0.07105158,5.721333333,19.29383334,92.69666667,37.29666667,13.35333333,17.94333333,12.18950471,4.629512014,3.103596164,4.297456002,585.7833334,1.68509344,997.9199666666667,1.67,4.343333333333333,250.36666666666667,-9.760919679017295,-132.50378767342787,0.069225058
2019-01-01 14:00:00,182798,2019-01-01 00:00:00,379,14,378.5833333,SD,1,12,0.170500271,0.021667404,470.210551,429.9291514,419.5297763,9.144750725,16.25085318,0.073030983,7.843333333,20.3525,90.59,38.54,14.52,17.11,12.99122991,6.39653472,2.828465723,5.706652334,409.95,1.811207476,996.9966666666666,2.56,5.2299999999999995,224.6,-12.816536008076673,-127.73140807591153,0.0690171845
2019-01-01 15:00:00,182799,2019-01-01 00:00:00,379,15,378.625,SD,1,12,0.229045079,0.014905897,485.4449532,426.6653622,417.7998026,9.076630482,13.94779095,0.074196138,9.073333333,20.13066667,88.42666667,41.52,15.68666667,16.44,13.76906646,7.256632685,3.283499161,6.590139739,311.2,1.757687142,996.5975,3.7866666666666666,7.906666666666666,189.96666666666667,-16.020936682073547,-117.48212967336389,0.0690171845
